baseline	treatment	top_k	instance_id	direction	baseline_rank	treatment_rank
Structural_projection	MURAL	20	sphinx-doc__sphinx-8120	treatment_only	NA	9
Structural_projection	MURAL	20	sphinx-doc__sphinx-8269	treatment_only	NA	8
Structural_projection	MURAL	20	sphinx-doc__sphinx-8548	treatment_only	NA	10
Structural_projection	MURAL	20	sphinx-doc__sphinx-8638	treatment_only	NA	15
Structural_projection	MURAL	20	sphinx-doc__sphinx-9320	treatment_only	NA	1
Structural_projection	MURAL	20	sphinx-doc__sphinx-9367	treatment_only	NA	8
Structural_projection	MURAL	20	sphinx-doc__sphinx-9591	treatment_only	NA	16
Structural_projection	MURAL	20	sphinx-doc__sphinx-9698	treatment_only	NA	7
Structural_projection	MURAL	20	sphinx-doc__sphinx-9711	treatment_only	NA	1
Structural_projection	MURAL	20	sympy__sympy-11618	treatment_only	NA	1
Structural_projection	MURAL	20	sympy__sympy-12419	treatment_only	NA	15
Structural_projection	MURAL	20	sympy__sympy-12481	treatment_only	NA	14
Structural_projection	MURAL	20	sympy__sympy-13480	treatment_only	NA	4
Structural_projection	MURAL	20	sympy__sympy-13551	treatment_only	NA	4
Structural_projection	MURAL	20	sympy__sympy-13852	treatment_only	NA	14
Structural_projection	MURAL	20	sympy__sympy-15599	treatment_only	NA	1
Structural_projection	MURAL	20	sympy__sympy-15809	treatment_only	NA	3
Structural_projection	MURAL	20	sympy__sympy-16450	treatment_only	NA	12
Structural_projection	MURAL	20	sympy__sympy-16792	treatment_only	NA	18
Structural_projection	MURAL	20	sympy__sympy-18189	treatment_only	NA	1
Structural_projection	MURAL	20	sympy__sympy-18763	treatment_only	NA	1
Structural_projection	MURAL	20	sympy__sympy-19954	baseline_only	1	NA
Structural_projection	MURAL	20	sympy__sympy-21930	baseline_only	5	NA
Structural_projection	MURAL	20	sympy__sympy-22714	treatment_only	NA	8
Structural_projection	MURAL	20	sympy__sympy-24443	baseline_only	3	NA
Structural_projection	MURAL	20	sympy__sympy-24562	treatment_only	NA	4
Structural_projection	MURAL	20	sympy__sympy-24661	baseline_only	9	NA
Dense_projection	MURAL	20	astropy__astropy-13033	baseline_only	1	NA
Dense_projection	MURAL	20	astropy__astropy-14539	treatment_only	NA	16
Dense_projection	MURAL	20	django__django-11740	baseline_only	20	NA
Dense_projection	MURAL	20	django__django-11815	baseline_only	12	NA
Dense_projection	MURAL	20	django__django-11880	treatment_only	NA	14
Dense_projection	MURAL	20	django__django-12193	treatment_only	NA	13
Dense_projection	MURAL	20	django__django-12308	treatment_only	NA	7
Dense_projection	MURAL	20	django__django-12708	treatment_only	NA	7
Dense_projection	MURAL	20	django__django-13033	treatment_only	NA	16
Dense_projection	MURAL	20	django__django-13363	treatment_only	NA	3
Dense_projection	MURAL	20	django__django-13590	treatment_only	NA	13
Dense_projection	MURAL	20	django__django-13658	treatment_only	NA	9
Dense_projection	MURAL	20	django__django-13794	treatment_only	NA	2
Dense_projection	MURAL	20	django__django-13809	treatment_only	NA	16
Dense_projection	MURAL	20	django__django-13821	treatment_only	NA	1
Dense_projection	MURAL	20	django__django-14011	baseline_only	6	NA
Dense_projection	MURAL	20	django__django-14089	baseline_only	3	NA
Dense_projection	MURAL	20	django__django-14608	treatment_only	NA	18
Dense_projection	MURAL	20	django__django-15098	treatment_only	NA	19
Dense_projection	MURAL	20	django__django-15278	baseline_only	7	NA
Dense_projection	MURAL	20	django__django-15375	baseline_only	8	NA
Dense_projection	MURAL	20	django__django-15499	treatment_only	NA	12
Dense_projection	MURAL	20	django__django-16263	baseline_only	3	NA
Dense_projection	MURAL	20	django__django-16642	treatment_only	NA	8
Dense_projection	MURAL	20	django__django-16662	treatment_only	NA	9
Dense_projection	MURAL	20	django__django-9296	treatment_only	NA	6
Dense_projection	MURAL	20	matplotlib__matplotlib-20676	treatment_only	NA	20
Dense_projection	MURAL	20	matplotlib__matplotlib-25775	baseline_only	12	NA
Dense_projection	MURAL	20	mwaskom__seaborn-3187	treatment_only	NA	3
Dense_projection	MURAL	20	psf__requests-1766	baseline_only	1	NA
Dense_projection	MURAL	20	psf__requests-2317	treatment_only	NA	1
Dense_projection	MURAL	20	pydata__xarray-4966	treatment_only	NA	5
Dense_projection	MURAL	20	pytest-dev__pytest-10081	baseline_only	7	NA
Dense_projection	MURAL	20	pytest-dev__pytest-5631	treatment_only	NA	10
Dense_projection	MURAL	20	pytest-dev__pytest-5840	baseline_only	7	NA
Dense_projection	MURAL	20	pytest-dev__pytest-6197	treatment_only	NA	7
Dense_projection	MURAL	20	scikit-learn__scikit-learn-9288	treatment_only	NA	16
Dense_projection	MURAL	20	sphinx-doc__sphinx-10323	treatment_only	NA	9
Dense_projection	MURAL	20	sphinx-doc__sphinx-10449	baseline_only	2	NA
Dense_projection	MURAL	20	sphinx-doc__sphinx-10466	treatment_only	NA	16
Dense_projection	MURAL	20	sphinx-doc__sphinx-9229	treatment_only	NA	8
Dense_projection	MURAL	20	sphinx-doc__sphinx-9230	baseline_only	6	NA
Dense_projection	MURAL	20	sphinx-doc__sphinx-9591	treatment_only	NA	16
Dense_projection	MURAL	20	sphinx-doc__sphinx-9602	baseline_only	11	NA
Dense_projection	MURAL	20	sphinx-doc__sphinx-9673	baseline_only	1	NA
Dense_projection	MURAL	20	sympy__sympy-13480	treatment_only	NA	4
Dense_projection	MURAL	20	sympy__sympy-13615	treatment_only	NA	4
Dense_projection	MURAL	20	sympy__sympy-13798	baseline_only	12	NA
Dense_projection	MURAL	20	sympy__sympy-14976	baseline_only	15	NA
Dense_projection	MURAL	20	sympy__sympy-15017	baseline_only	6	NA
Dense_projection	MURAL	20	sympy__sympy-15345	treatment_only	NA	2
Dense_projection	MURAL	20	sympy__sympy-16450	treatment_only	NA	12
Dense_projection	MURAL	20	sympy__sympy-17139	treatment_only	NA	8
Dense_projection	MURAL	20	sympy__sympy-18698	treatment_only	NA	6
Dense_projection	MURAL	20	sympy__sympy-20438	treatment_only	NA	11
Dense_projection	MURAL	20	sympy__sympy-23413	treatment_only	NA	3
